idx,beam,hyp,truth
01_27,1,但明果是影片命得應要造不相同的可以上,但您的醫生對您的醫療照顧將不會造成任何影響
01_27,0,但明果是影片命得應要造部不長的可以,但您的醫生對您的醫療照顧將不會造成任何影響
02_01,1,來一對議題數數的自己就可以,沒有就以最舒服的姿勢就可以
02_01,0,來一對議題數出的自己就可能,沒有就以最舒服的姿勢就可以
02_02,0,家裡有一張圖片,這裡有一張圖片
02_02,1,這裡有一張圖片,這裡有一張圖片
02_03,1,新聞高速五在社商處業和高路還是公界,請你告訴我等一下這張圖片裡看到的所有內容與細節
02_03,0,新聞高速五在社商處理看到平報世界,請你告訴我等一下這張圖片裡看到的所有內容與細節
02_04,1,出開時,請開始
02_04,0,出開師,請開始
02_05,0,喔這個流記龍妹美類在洗哥餅餅乾乾,看到有一對兄妹
02_05,1,喔這個流記龍妹美類在洗糕餅餅乾乾,看到有一對兄妹
02_06,1,後那個月餐參育子到吃,然後哥哥踩的椅子好像快跌到了這樣子
02_06,0,後那個月餐參育子倒知道,然後哥哥踩的椅子好像快跌到了這樣子
02_07,1,然後那個洗碗洗水水,然後還有媽媽在洗碗可是水槽的水
02_07,0,喔喔手呢洗碗洗水水,然後還有媽媽在洗碗可是水槽的水
02_08,0,深脫人關之水就動出來的,水龍頭沒有關所以水一直漏出來這樣子
02_08,1,深脫人關之水就動出來,水龍頭沒有關所以水一直漏出來這樣子
02_09,0,昨晚會講到這些事中,然後窗外好像有些東西
02_09,1,昨晚會找到這些事中,然後窗外好像有些東西
02_10,0,上了上了自己到港的凳子,窗外就是窗戶是打開的
02_10,1,上了上了自己到坑的凳子,窗外就是窗戶是打開的
02_11,0,喔喔上面好像好這樣,然後外面好像還好就是小徑
02_11,1,好後呢好像好小孩子拿手手,然後外面好像還好就是小徑
02_12,1,趕在窗頭,應該差不多
02_12,0,獨在窗房,應該差不多
02_13,1,新竹京洋完主保公職,請逐字唸完這段文字
02_13,0,新竹京洋外主保公職,請逐字唸完這段文字
02_14,1,新店師,請開始
02_14,0,請討式,請開始
02_15,1,明果可以用準定時餐參加人數演久,您可自由決定是否參加本試驗研究
02_15,0,明果可以用準定時餐參加人數研究,您可自由決定是否參加本試驗研究
02_16,1,立醫師聯遠就如統中司是修利是一九九月九九九月九十六九九,並於試驗研究過程中可隨時撤銷同意退出試驗研究
02_16,0,立醫師聯遠就如統中司是修利是一九九月九九九月九十六年,並於試驗研究過程中可隨時撤銷同意退出試驗研究
02_17,1,不確為這個水龍會議西西過愈快,不需任何理由且不會引起任何不愉快
02_17,0,不確立還有錢不會,不需任何理由且不會引起任何不愉快
02_18,1,椅力上面洗哦是你弟這個要房子過,或影響日後醫師對你的醫療照顧
02_18,0,椅力上面洗哦是你弟這個要房子,或影響日後醫師對你的醫療照顧
02_19,1,十八零一零七元的字組織長就是找上面是東西,此外您並已充分了解主持人或贊助廠商亦可能於必要時終止
02_19,0,十八零一零七元的字組織長就在上上上是東西,此外您並已充分了解主持人或贊助廠商亦可能於必要時終止
02_20,0,中子跟十年年就職執行,終止本試驗研究之進行
02_20,1,中子跟十年年就職竟行,終止本試驗研究之進行
02_21,0,站民的意是跟名個一要造不將新上面上,但您的醫生對您的醫療照顧將不會造成任何影響
02_21,1,站民的意是跟名個一要造不將新上一下,但您的醫生對您的醫療照顧將不會造成任何影響
03_01,0,家庭有比較符天型理頭降舉種東西沒有限遊,這裡有一張圖片請你告訴我等一下這張圖片你看到的所有內容與細節
03_01,1,家庭有比較符天型理頭降舉種東遊遊商遊,這裡有一張圖片請你告訴我等一下這張圖片你看到的所有內容與細節
03_02,0,期探線,請開始
03_02,1,心探線,請開始
03_03,0,他沒有個上還有小孩子,旁邊有一個小女孩跟小男孩
03_03,1,他沒有個孩子拿下很好,旁邊有一個小女孩跟小男孩
03_04,1,喔喔在拿北港西,然後在拿餅乾吃
03_04,0,喔喔在那邊擔心,然後在拿餅乾吃
03_05,0,喔上來還有椅子到,然後小男孩椅子快要倒了
03_05,1,喔上來還有椅子到了,然後小男孩椅子快要倒了
03_06,1,那麼像沒吃雪,然後小女孩在竊笑
03_06,0,那麼像沒吃雪下,然後小女孩在竊笑
03_07,0,媽媽在洗碗我在洗碗這個水盤子上面這些毛險,那媽媽在洗碗不過水已經從就是水槽裡面溢出來了他沒有發現
03_07,1,媽媽在洗碗我在洗碗這個水盤子上這樣拿些險些,那媽媽在洗碗不過水已經從就是水槽裡面溢出來了他沒有發現
03_08,1,好還有這個,窗戶是開著的
03_08,0,好看這個,窗戶是開著的
03_09,1,好流心好洗碗,旁邊有洗好的碗
03_09,0,好流記,旁邊有洗好的碗
03_10,0,治家講到超查,要講多長阿
03_10,1,治家講到超傳,要講多長阿
03_11,1,哦洗呢在洗盤子,那基本上是差不多這樣啦
03_11,0,哦洗呢在洗碗超拿小,那基本上是差不多這樣啦
03_12,0,天面有下法卡律人說好的差紀,外面有其他房間跟樹還有個草皮
03_12,1,天面有下法律這樣說好的差即,外面有其他房間跟樹還有個草皮
03_13,1,新竹企業文生八國區,請逐字唸完這段文字
03_13,0,新竹企業文生八國池,請逐字唸完這段文字
03_14,1,心窗心,請開始
03_14,0,心探心,請開始
03_15,0,英可以讓電子時通餐載本私演研究,您可自由決定是否參加本試驗研究
03_15,1,英可以讓電子時頭餐決分私也講久,您可自由決定是否參加本試驗研究
03_16,0,中央書驗驗住國際中國司何改善造因與重要,並於試驗研究過程中可隨時撤銷同意退出試驗研究
03_16,1,中央書驗驗住國際中國司何改善造因與重,並於試驗研究過程中可隨時撤銷同意退出試驗研究
03_17,0,不是人花里有錢不會形氣兩點無款,不需任何理由且不會引起任何不愉快
03_17,1,不是人花里有錢不會形氣兩點一份,不需任何理由且不會引起任何不愉快
03_18,0,柏林商業活理是改營的一樣,或影響日後醫師對你的醫療照顧
03_18,1,柏林商業活理是改營的一張,或影響日後醫師對你的醫療照顧
03_19,1,十萬零零一張案,此外您並已充分了解主持人或贊助廠商亦可能於必要時終止
03_19,0,十萬零點一張,此外您並已充分了解主持人或贊助廠商亦可能於必要時終止
03_20,0,但是今年就自己進,終止本試驗研究之進行
03_20,1,但是今年就自己進去,終止本試驗研究之進行
03_21,0,但零零一世德的日義就保護早納想想,但您的醫生對您的醫療照顧將不會造成任何影響
03_21,1,但零零一世德的日義就保護在大家想上一下,但您的醫生對您的醫療照顧將不會造成任何影響
04_01,0,他不不知道他都要去哪,你就跟著他動就可以了
04_01,1,他不不知道他都是可能,你就跟著他動就可以了
04_02,1,椅告動,你不要動喔
04_02,0,低照動,你不要動喔
04_03,0,你就說過這則是笑話,你這樣舒服這個姿勢舒服齁
04_03,1,你就說過這則是說好,你這樣舒服這個姿勢舒服齁
04_04,1,兩個第一次是為做什麼,那我們等一下就以這個姿勢為主喔
04_04,0,兩個第一則是會做什麼,那我們等一下就以這個姿勢為主喔
04_05,0,龍盤子呢這個水盤子看什麼東西,等一下按開始等一下那個黑點就會動喔
04_05,1,龍盤子呢這個水i酒看什麼東西,等一下按開始等一下那個黑點就會動喔
04_06,0,一棟多話是要關係動,你不用動沒關係我幫你動
04_06,1,一棟多花是我幫你的,你不用動沒關係我幫你動
04_07,0,就叫你以最後回十事,你就已你最舒服的姿勢
04_07,1,就叫你以最後活事,你就已你最舒服的姿勢
04_08,0,若有開始的,好那我們要開始囉
04_08,1,若若開始了,好那我們要開始囉
04_09,0,就找這個答案,你這樣看得到嗎
04_09,1,就找著當到椅子,你這樣看得到嗎
04_10,0,凱道,看得到
04_10,1,潭道,看得到
04_11,1,我們開始啊,那我們要開始囉
04_11,0,我們開始了,那我們要開始囉
04_12,1,在廚水姐裡面面緊個好倒點,等一下出現黑點你眼睛跟著他動
04_12,0,在廚水姐裡面面緊個好倒點下個東西,等一下出現黑點你眼睛跟著他動
04_13,0,包婆盡量表動,然後頭盡量不要動
04_13,1,包婆盡量表導,然後頭盡量不要動
04_14,1,民行教爭的目進,我們先校正你的眼睛這樣
04_14,0,民行教爭的目間,我們先校正你的眼睛這樣
04_15,1,海海啊,開始囉
04_15,0,海海,開始囉
04_16,1,真熱嗎,這個嗎
04_16,0,真又嗎,這個嗎
04_17,0,電子從前面的問題,等一下不是
04_17,1,電子從前的電子,等一下不是
04_18,0,這個水的直給,等一下會有個黑點
04_18,1,這個水的直點,等一下會有個黑點
04_19,1,你是那那個電動,你跟著那個黑點動
04_19,0,你等他們還變動,你跟著那個黑點動
04_20,0,人人下多,你們不要動喔
04_20,1,這個水多,你們不要動喔
04_21,0,所站上來了嗎,是箭頭那個嗎
04_21,1,所站上來了啊,是箭頭那個嗎
04_22,1,作會一群之後討論整統,不是不是等一下會有個黑色點不要看我的箭頭喔
04_22,0,作會一群之後討論總統,不是不是等一下會有個黑色點不要看我的箭頭喔
04_23,1,還有看見什麼都這樣,不要看箭頭
04_23,0,還有看見什麼,不要看箭頭
04_24,0,背火子的水弟,對會有個黑色的點
04_24,1,背櫃子的水弟,對會有個黑色的點
04_25,1,跟這很頻動,跟著黑點動
04_25,0,跟這黑頻動,跟著黑點動
04_26,0,年輕單的時邊都老脫掉走,眼睛跟著黑點動然後頭不要動
04_26,1,年輕單的時邊都老脫掉走了,眼睛跟著黑點動然後頭不要動
04_27,0,盡量流動,盡量不要動
04_27,1,金然流動,盡量不要動
04_28,0,心裡頭說無法最上負片負倒都是壞性戀,請你告訴我在這張圖片裡你看到的所有內容與細節
04_28,1,心裡頭說無法最上負片負倒都是壞性搞,請你告訴我在這張圖片裡你看到的所有內容與細節
04_29,0,超談政,擦盤子
04_29,1,發康則,擦盤子
04_30,1,來者,拿椅子
04_30,0,來這,拿椅子
04_31,0,拿東西,拿東西
04_31,1,拿剛信,拿東西
04_32,1,八北道了,阿跌倒了
04_32,0,拉北道了,阿跌倒了
04_33,1,沒有嗎,還有嗎
04_33,0,沒有啦,還有嗎
04_34,0,還有拿個,還有那個
04_34,1,還有那個,還有那個
04_35,0,肚子來了,漏出來了
04_35,1,肚起來了,漏出來了
04_36,1,台南了,太滿了
04_36,0,台南人,太滿了
04_37,0,所以看到東西來了,水太滿了漏出來了
04_37,1,所以看到都出來了,水太滿了漏出來了
04_38,0,還有沒有,還有妹妹
04_38,1,還有內內,還有妹妹
04_39,1,要底剛拿東西要開道,他要跌倒拿東西要跌倒
04_39,0,要底剛拿東西要再到,他要跌倒拿東西要跌倒
04_40,0,聽那兒子跟他這種東西,阿妹妹給他接東西
04_40,1,聽那邊跟電子在東西,阿妹妹給他接東西
04_41,0,對然了,沒有了
04_41,1,又然了,沒有了
04_42,0,新竹企業完資料庫字,請逐字唸完這段文字
04_42,1,新竹企業網制表格局,請逐字唸完這段文字
04_43,1,新唐詩,請開始
04_43,0,新莊師,請開始
04_44,1,真的啊,這是什麼
04_44,0,真的什麼,這是什麼
04_45,1,導成面,照著念
04_45,0,造成面,照著念
04_46,1,找者職練就好,照著字念就好
04_46,0,找者職驗就好,照著字念就好
04_47,1,順哥,現在
04_47,0,順針,現在
04_48,0,明天就可以自己這邊算站是原言人政策人,您可自您可自由決定否參加本驗本試驗研研究
04_48,1,明天就可以自己這邊算站,您可自您可自由決定否參加本驗本試驗研研究
04_49,1,便營是業人救播程張科學生,並於試驗研究過程中可隨時
04_49,0,便營是業人救播程張科學色,並於試驗研究過程中可隨時
04_50,0,怪色是仁男家,退出試驗研究
04_50,1,跨速速仁門交,退出試驗研究
04_51,0,不幸美和亞子不會應喜歡是不一塊,不需任何理由且不會引起任何不愉快
04_51,1,不幸美和亞子不會應喜是還不一塊,不需任何理由且不會引起任何不愉快
04_52,0,好後應想也好像是特明的一樣或兩國,或影響日後醫師對你的醫療照顧
04_52,1,好後應想也好像是特明的一樣就要國國,或影響日後醫師對你的醫療照顧
04_53,1,如何名面依成問題真的創真是在椅子上面這個,此外您並已充分了解主持人或贊助廠商亦可能於必要時終止
04_53,0,如何名面依成問題真的創真是在椅子上面這樣,此外您並已充分了解主持人或贊助廠商亦可能於必要時終止
04_54,1,中正必須練本教助建水,終止本試驗研究之進行
04_54,0,中正必須練本教獎建水,終止本試驗研究之進行
04_55,0,站民的議式跟你的一張大部會不在納下一下,但您的醫生對您的醫療照顧將不會不會造成影響
04_55,1,站民的議式跟你的一張大部會不講庭,但您的醫生對您的醫療照顧將不會不會造成影響
